,ID,handle_state,refname,MISSING,Q0,Qx,Qy,Qz,Tx,Ty,Tz,calc_Err,port_state,frame_id,R_ID
585,0B,001,Rechter Hüftknochen,False,0.3195241689682007,0.7059080004692078,-0.06460937857627869,0.6288274526596069,-9.698585510253906,239.3370819091797,-222.04092407226562,0.015445942990481853,b'?\x00\x02\x00',B8670000,R-146
586,0C,001,Linker Hüftknochen,False,0.5228044390678406,-0.3304758667945862,-0.6260634064674377,0.47487500309944153,190.84970092773438,-1.6360236406326294,-217.34280395507812,0.13575036823749542,b'?\x00\x02\x00',B8670000,R-146
587,0D,003,Brustbein,False,0.014012016355991364,0.6547026038169861,-0.7551092505455017,0.03128404915332794,-118.921142578125,-59.00511932373047,-219.4740753173828,0.04578428715467453,b'9\x00\x02\x00',B8670000,R-146
588,0A,00D,Ultraschallkopf,False,0.10945836454629898,0.7165630459785461,0.05849730595946312,-0.6863926649093628,-4.429437160491943,42.0207633972168,-251.3829803466797,0.06086161732673645,b'=\x00\x02\x00',C8F60000,R-147
589,0B,001,Rechter Hüftknochen,False,0.4551145136356354,0.667502760887146,-0.2343786507844925,0.5407198667526245,99.67748260498047,238.92462158203125,-221.727783203125,0.020351916551589966,b'?\x00\x02\x00',C8F60000,R-147
590,0C,001,Linker Hüftknochen,False,0.6193081736564636,-0.4696386158466339,-0.530012309551239,0.33909305930137634,167.3756103515625,-67.2879409790039,-216.46058654785156,0.08569736033678055,b'?\x00\x02\x00',C8F60000,R-147
591,0D,003,Brustbein,False,0.01982642337679863,0.4580865800380707,-0.8883143663406372,0.02570854127407074,-134.2204132080078,23.83245086669922,-220.5869140625,0.027051402255892754,b'9\x00\x02\x00',C8F60000,R-147
592,0A,00D,Ultraschallkopf,False,0.06806693226099014,-0.7073377966880798,0.13033150136470795,0.6914145350456238,-37.70488357543945,62.947349548339844,-251.48287963867188,0.08640498667955399,b'=\x00\x02\x00',A0490100,R-148
593,0B,001,Rechter Hüftknochen,False,0.582504153251648,0.5784908533096313,-0.40421074628829956,0.4033004343509674,152.18995666503906,178.64866638183594,-220.81085205078125,0.02365729585289955,b'?\x00\x02\x00',A0490100,R-148
594,0C,001,Linker Hüftknochen,False,0.6838904023170471,-0.5962873697280884,-0.38862475752830505,0.16033193469047546,53.702999114990234,-118.96097564697266,-215.03411865234375,0.08910810947418213,b'?\x00\x02\x00',A0490100,R-148
