,ID,handle_state,refname,MISSING,Q0,Qx,Qy,Qz,Tx,Ty,Tz,calc_Err,port_state,frame_id,R_ID
56,0A,00D,Ultraschallkopf,False,0.0544,0.9395,-0.3330,-0.0577,39.9400,-289.2600,-189.0600,0.0233,0002003D,0000BF28,R-14
57,0B,003,Rechter Hüftknochen,False,0.0621,0.3468,0.9335,-0.0656,-84.8400,-91.2200,-228.9900,0.1167,00020039,0000BF28,R-14
58,0C,001,Linker Hüftknochen,False,0.1616,0.7134,0.1299,0.6692,88.7500,-126.7700,-228.6100,0.0174,0002003F,0000BF28,R-14
59,0D,001,Brustbein,False,0.3002,0.7238,0.2002,0.5881,66.5000,223.1200,-229.8900,0.1936,0002003F,0000BF28,R-14
60,0A,00D,Ultraschallkopf,False,0.2065,0.9572,-0.2016,0.0207,112.7800,-225.2300,-161.5400,0.1644,0000003D,00014D68,R-15
61,0B,003,Rechter Hüftknochen,False,0.0568,0.3672,0.9256,-0.0708,-50.0100,-70.7700,-229.7300,0.0780,00020039,00014D68,R-15
62,0C,001,Linker Hüftknochen,False,0.1989,0.6974,0.1927,0.6608,122.3400,-110.0800,-229.1700,0.0345,0002003F,00014D68,R-15
63,0D,001,Brustbein,False,0.2218,0.6866,0.2249,0.6547,73.2000,238.0100,-227.4400,0.1320,0002003F,00014D68,R-15
64,0A,00D,Ultraschallkopf,False,0.0469,0.9987,-0.0034,-0.0160,38.6400,-75.8400,-257.9700,0.0106,0002003D,00017B60,R-16
65,0B,003,Rechter Hüftknochen,False,0.0584,0.3366,0.9377,-0.0628,-39.5600,-204.9000,-228.5200,0.0760,00020039,00017B60,R-16
66,0C,001,Linker Hüftknochen,False,0.2011,0.6863,0.1971,0.6704,135.3100,-234.1900,-227.6900,0.0252,0002003F,00017B60,R-16
67,0D,001,Brustbein,False,0.3636,0.6437,0.3135,0.5957,91.8100,119.1900,-226.5100,0.1407,0002003F,00017B60,R-16
68,0A,00D,Ultraschallkopf,False,0.0811,0.7587,-0.1277,0.6335,111.4200,-171.4900,-145.3300,0.0285,0002003D,0001FDE0,R-17
69,0B,003,Rechter Hüftknochen,False,0.0435,0.5419,0.8369,-0.0630,-163.4400,-150.4800,-229.0800,0.0784,00020039,0001FDE0,R-17
70,0C,001,Linker Hüftknochen,False,0.3077,0.6723,-0.0738,0.6692,-22.7200,-258.4800,-222.1900,0.0090,0002003F,0001FDE0,R-17
71,0D,001,Brustbein,False,0.4352,0.7258,0.1246,0.5178,102.0700,76.2000,-228.5100,0.1519,0002003F,0001FDE0,R-17
72,0A,00D,Ultraschallkopf,False,0.1235,0.7605,-0.1411,0.6215,126.7400,9.6200,-146.3200,0.0169,0002003D,000230F8,R-18
73,0B,003,Rechter Hüftknochen,False,0.0176,0.4508,0.8918,-0.0319,-147.9700,-23.8700,-229.3600,0.0349,00020039,000230F8,R-18
74,0C,001,Linker Hüftknochen,False,0.2000,0.6798,-0.0326,0.7047,9.5900,-107.9200,-223.5100,0.0055,0002003F,000230F8,R-18
75,0D,001,Brustbein,False,0.3188,0.7459,0.1152,0.5732,77.9200,242.4800,-230.9500,0.1151,0002003F,000230F8,R-18
76,0A,00D,Ultraschallkopf,False,0.0351,-0.7917,0.6098,-0.0042,-32.6700,66.0300,-261.1200,0.0103,0002003D,00026E30,R-19
77,0B,003,Rechter Hüftknochen,False,0.0771,-0.3138,0.9456,-0.0367,120.3200,-60.5500,-230.8400,0.0644,00020039,00026E30,R-19
78,0C,001,Linker Hüftknochen,False,0.1999,-0.3961,-0.5475,-0.7094,200.8100,98.3500,-227.1400,0.0084,0002003F,00026E30,R-19
79,0D,001,Brustbein,False,0.0510,0.2380,0.6688,0.7023,-150.4000,157.9400,-226.1700,0.3228,0002003F,00026E30,R-19
80,0A,00D,Ultraschallkopf,False,0.0037,0.1239,0.9917,-0.0337,67.1200,-59.3900,-261.3100,0.0177,0002003D,0002D7A8,R-20
81,0B,003,Rechter Hüftknochen,False,0.0444,0.2547,0.9648,-0.0471,-118.5700,-229.6500,-227.8200,0.0634,00020039,0002D7A8,R-20
82,0C,001,Linker Hüftknochen,False,0.1397,0.6460,0.1899,0.7259,59.5000,-240.2100,-222.3900,0.0102,0002003F,0002D7A8,R-20
83,0D,001,Brustbein,False,0.1825,0.6947,0.2476,0.6501,-23.6400,106.8300,-228.0600,0.0912,0002003F,0002D7A8,R-20
84,0A,00D,Ultraschallkopf,False,0.0067,0.0262,0.9989,-0.0363,69.5300,115.3100,-263.3500,0.0151,0002003D,0002FC40,R-21
85,0B,003,Rechter Hüftknochen,False,0.0554,0.1625,0.9836,-0.0544,-72.9900,-82.8700,-228.7500,0.1270,00020039,0002FC40,R-21
86,0C,001,Linker Hüftknochen,False,0.0884,0.5871,0.3184,0.7389,102.6600,-59.3200,-223.6100,0.0098,0002003F,0002FC40,R-21
87,0D,001,Brustbein,False,0.0702,0.6841,0.2852,0.6676,-45.4700,264.5200,-230.5600,0.1126,0002003F,0002FC40,R-21
88,0A,00D,Ultraschallkopf,False,0.0030,0.1579,0.9868,-0.0327,185.2000,46.6500,-263.1400,0.0355,0002003D,00031410,R-22
89,0B,003,Rechter Hüftknochen,False,0.0476,0.2931,0.9530,-0.0594,-5.3100,-107.1500,-229.1600,0.0334,00020039,00031410,R-22
90,0C,001,Linker Hüftknochen,False,0.1912,0.6149,0.2509,0.7226,171.7800,-130.6500,-224.0500,0.0342,0002003F,00031410,R-22
91,0D,001,Brustbein,False,0.0876,0.7357,0.1384,0.6571,114.2500,221.5300,-230.5900,0.0988,0002003F,00031410,R-22
92,0A,00D,Ultraschallkopf,False,0.0040,0.1591,0.9867,-0.0310,161.3600,-26.7900,-261.9000,0.0364,0002003D,00035788,R-23
93,0B,003,Rechter Hüftknochen,False,0.0484,0.2936,0.9528,-0.0591,-29.5500,-180.4600,-228.2700,0.0237,00020039,00035788,R-23
94,0C,001,Linker Hüftknochen,False,0.1918,0.5665,0.3591,0.7163,146.5800,-203.0800,-224.2800,0.0444,0002003F,00035788,R-23
95,0D,001,Brustbein,False,0.1944,0.7014,0.2206,0.6491,90.5000,147.8600,-228.9400,0.1102,0002003F,00035788,R-23
96,0A,00D,Ultraschallkopf,False,0.0002,-0.3066,-0.9511,0.0349,115.7900,-66.1500,-261.5100,0.0171,0002003D,000374E8,R-24
97,0B,003,Rechter Hüftknochen,False,0.0393,0.4367,0.8965,-0.0632,-111.9500,-154.7500,-228.7000,0.0441,00020039,000374E8,R-24
98,0C,001,Linker Hüftknochen,False,0.2048,0.6467,0.2124,0.7033,48.9000,-229.6200,-224.3100,0.0101,0002003F,000374E8,R-24
99,0D,001,Brustbein,False,0.2940,0.7267,0.1095,0.6110,102.4000,120.8100,-229.2700,0.1164,0002003F,000374E8,R-24
100,0A,00D,Ultraschallkopf,False,0.0013,-0.2558,-0.9655,0.0472,76.3100,10.2900,-262.1600,0.0244,0002003D,000385F0,R-25
101,0B,003,Rechter Hüftknochen,False,0.0436,0.3923,0.9166,-0.0626,-140.6100,-99.9400,-229.3700,0.0202,00020039,000385F0,R-25
102,0C,001,Linker Hüftknochen,False,0.1690,0.6321,0.2545,0.7120,27.0500,-158.2700,-224.9100,0.0062,0002003F,000385F0,R-25
103,0D,001,Brustbein,False,0.2335,0.7280,0.1219,0.6329,45.9600,195.7200,-229.8700,0.0889,0002003F,000385F0,R-25
104,0A,00D,Ultraschallkopf,False,0.0052,-0.3982,-0.9162,0.0424,74.1500,-45.1800,-261.5400,0.0154,0002003D,00039730,R-26
105,0B,003,Rechter Hüftknochen,False,0.0329,0.5576,0.8267,-0.0663,-163.5300,-72.9700,-229.7400,0.0473,00020039,00039730,R-26
106,0C,001,Linker Hüftknochen,False,0.2631,0.6738,0.1086,0.6818,-29.5700,-188.8500,-224.8800,0.0113,0002003F,00039730,R-26
107,0D,001,Brustbein,False,0.3839,0.7319,0.0133,0.5627,118.7600,132.6300,-229.5000,0.0982,0002003F,00039730,R-26
108,0A,00D,Ultraschallkopf,False,0.0070,-0.4487,-0.8927,0.0395,75.3300,-128.3900,-261.1500,0.0238,0002003D,0003AB78,R-27
109,0B,003,Rechter Hüftknochen,False,0.0302,0.6021,0.7950,-0.0661,-163.6800,-129.6900,-229.0700,0.0671,00020039,0003AB78,R-27
110,0C,001,Linker Hüftknochen,False,0.3458,0.6711,0.1103,0.6463,-43.9500,-259.8100,-224.5700,0.0044,0002003F,0003AB78,R-27
111,0D,001,Brustbein,False,0.4484,0.7266,0.0039,0.5205,140.1200,43.1900,-228.4700,0.0614,0002003F,0003AB78,R-27
112,0A,00D,Ultraschallkopf,False,0.0004,0.0255,0.9994,0.0195,51.2600,-11.9900,-261.2900,0.0393,0002003D,0003E7D8,R-28
